instant,date,season,year,month,is_holiday,weather_situation,casual,registered,total_rented
1,2011-01-01,Spring,2011,Jan,0,Mist / Cloudy,331,654,985
2,2011-01-02,Spring,2011,Jan,0,Mist / Cloudy,131,670,801
3,2011-01-03,Spring,2011,Jan,0,Clear / Few clouds,120,1229,1349
4,2011-01-04,Spring,2011,Jan,0,Clear / Few clouds,108,1454,1562
5,2011-01-05,Spring,2011,Jan,0,Clear / Few clouds,82,1518,1600
6,2011-01-06,Spring,2011,Jan,0,Clear / Few clouds,88,1518,1606
7,2011-01-07,Spring,2011,Jan,0,Mist / Cloudy,148,1362,1510
8,2011-01-08,Spring,2011,Jan,0,Mist / Cloudy,68,891,959
9,2011-01-09,Spring,2011,Jan,0,Clear / Few clouds,54,768,822
10,2011-01-10,Spring,2011,Jan,0,Clear / Few clouds,41,1280,1321
11,2011-01-11,Spring,2011,Jan,0,Mist / Cloudy,43,1220,1263
12,2011-01-12,Spring,2011,Jan,0,Clear / Few clouds,25,1137,1162
13,2011-01-13,Spring,2011,Jan,0,Clear / Few clouds,38,1368,1406
14,2011-01-14,Spring,2011,Jan,0,Clear / Few clouds,54,1367,1421
15,2011-01-15,Spring,2011,Jan,0,Mist / Cloudy,222,1026,1248
16,2011-01-16,Spring,2011,Jan,0,Clear / Few clouds,251,953,1204
17,2011-01-17,Spring,2011,Jan,1,Mist / Cloudy,117,883,1000
18,2011-01-18,Spring,2011,Jan,0,Mist / Cloudy,9,674,683
19,2011-01-19,Spring,2011,Jan,0,Mist / Cloudy,78,1572,1650
20,2011-01-20,Spring,2011,Jan,0,Mist / Cloudy,83,1844,1927
21,2011-01-21,Spring,2011,Jan,0,Clear / Few clouds,75,1468,1543
22,2011-01-22,Spring,2011,Jan,0,Clear / Few clouds,93,888,981
23,2011-01-23,Spring,2011,Jan,0,Clear / Few clouds,150,836,986
24,2011-01-24,Spring,2011,Jan,0,Clear / Few clouds,86,1330,1416
25,2011-01-25,Spring,2011,Jan,0,Mist / Cloudy,186,1799,1985
26,2011-01-26,Spring,2011,Jan,0,Light Rain / Snow,34,472,506
27,2011-01-27,Spring,2011,Jan,0,Clear / Few clouds,15,416,431
28,2011-01-28,Spring,2011,Jan,0,Mist / Cloudy,38,1129,1167
29,2011-01-29,Spring,2011,Jan,0,Clear / Few clouds,123,975,1098
30,2011-01-30,Spring,2011,Jan,0,Clear / Few clouds,140,956,1096
31,2011-01-31,Spring,2011,Jan,0,Mist / Cloudy,42,1459,1501
32,2011-02-01,Spring,2011,Feb,0,Mist / Cloudy,47,1313,1360
33,2011-02-02,Spring,2011,Feb,0,Mist / Cloudy,72,1454,1526
34,2011-02-03,Spring,2011,Feb,0,Clear / Few clouds,61,1489,1550
35,2011-02-04,Spring,2011,Feb,0,Mist / Cloudy,88,1620,1708
36,2011-02-05,Spring,2011,Feb,0,Mist / Cloudy,100,905,1005
37,2011-02-06,Spring,2011,Feb,0,Clear / Few clouds,354,1269,1623
38,2011-02-07,Spring,2011,Feb,0,Clear / Few clouds,120,1592,1712
39,2011-02-08,Spring,2011,Feb,0,Clear / Few clouds,64,1466,1530
40,2011-02-09,Spring,2011,Feb,0,Mist / Cloudy,53,1552,1605
41,2011-02-10,Spring,2011,Feb,0,Clear / Few clouds,47,1491,1538
42,2011-02-11,Spring,2011,Feb,0,Clear / Few clouds,149,1597,1746
43,2011-02-12,Spring,2011,Feb,0,Clear / Few clouds,288,1184,1472
44,2011-02-13,Spring,2011,Feb,0,Clear / Few clouds,397,1192,1589
45,2011-02-14,Spring,2011,Feb,0,Clear / Few clouds,208,1705,1913
46,2011-02-15,Spring,2011,Feb,0,Clear / Few clouds,140,1675,1815
47,2011-02-16,Spring,2011,Feb,0,Clear / Few clouds,218,1897,2115
48,2011-02-17,Spring,2011,Feb,0,Clear / Few clouds,259,2216,2475
49,2011-02-18,Spring,2011,Feb,0,Clear / Few clouds,579,2348,2927
50,2011-02-19,Spring,2011,Feb,0,Clear / Few clouds,532,1103,1635
51,2011-02-20,Spring,2011,Feb,0,Clear / Few clouds,639,1173,1812
52,2011-02-21,Spring,2011,Feb,1,Mist / Cloudy,195,912,1107
53,2011-02-22,Spring,2011,Feb,0,Clear / Few clouds,74,1376,1450
54,2011-02-23,Spring,2011,Feb,0,Clear / Few clouds,139,1778,1917
55,2011-02-24,Spring,2011,Feb,0,Mist / Cloudy,100,1707,1807
56,2011-02-25,Spring,2011,Feb,0,Mist / Cloudy,120,1341,1461
57,2011-02-26,Spring,2011,Feb,0,Clear / Few clouds,424,1545,1969
58,2011-02-27,Spring,2011,Feb,0,Clear / Few clouds,694,1708,2402
59,2011-02-28,Spring,2011,Feb,0,Mist / Cloudy,81,1365,1446
60,2011-03-01,Spring,2011,Mar,0,Clear / Few clouds,137,1714,1851
61,2011-03-02,Spring,2011,Mar,0,Clear / Few clouds,231,1903,2134
62,2011-03-03,Spring,2011,Mar,0,Clear / Few clouds,123,1562,1685
63,2011-03-04,Spring,2011,Mar,0,Mist / Cloudy,214,1730,1944
64,2011-03-05,Spring,2011,Mar,0,Mist / Cloudy,640,1437,2077
65,2011-03-06,Spring,2011,Mar,0,Mist / Cloudy,114,491,605
66,2011-03-07,Spring,2011,Mar,0,Clear / Few clouds,244,1628,1872
67,2011-03-08,Spring,2011,Mar,0,Clear / Few clouds,316,1817,2133
68,2011-03-09,Spring,2011,Mar,0,Mist / Cloudy,191,1700,1891
69,2011-03-10,Spring,2011,Mar,0,Light Rain / Snow,46,577,623
70,2011-03-11,Spring,2011,Mar,0,Mist / Cloudy,247,1730,1977
71,2011-03-12,Spring,2011,Mar,0,Clear / Few clouds,724,1408,2132
72,2011-03-13,Spring,2011,Mar,0,Clear / Few clouds,982,1435,2417
73,2011-03-14,Spring,2011,Mar,0,Clear / Few clouds,359,1687,2046
74,2011-03-15,Spring,2011,Mar,0,Mist / Cloudy,289,1767,2056
75,2011-03-16,Spring,2011,Mar,0,Mist / Cloudy,321,1871,2192
76,2011-03-17,Spring,2011,Mar,0,Clear / Few clouds,424,2320,2744
77,2011-03-18,Spring,2011,Mar,0,Clear / Few clouds,884,2355,3239
78,2011-03-19,Spring,2011,Mar,0,Clear / Few clouds,1424,1693,3117
79,2011-03-20,Spring,2011,Mar,0,Clear / Few clouds,1047,1424,2471
80,2011-03-21,Summer,2011,Mar,0,Mist / Cloudy,401,1676,2077
81,2011-03-22,Summer,2011,Mar,0,Clear / Few clouds,460,2243,2703
82,2011-03-23,Summer,2011,Mar,0,Mist / Cloudy,203,1918,2121
83,2011-03-24,Summer,2011,Mar,0,Mist / Cloudy,166,1699,1865
84,2011-03-25,Summer,2011,Mar,0,Clear / Few clouds,300,1910,2210
85,2011-03-26,Summer,2011,Mar,0,Clear / Few clouds,981,1515,2496
86,2011-03-27,Summer,2011,Mar,0,Mist / Cloudy,472,1221,1693
87,2011-03-28,Summer,2011,Mar,0,Clear / Few clouds,222,1806,2028
88,2011-03-29,Summer,2011,Mar,0,Clear / Few clouds,317,2108,2425
89,2011-03-30,Summer,2011,Mar,0,Mist / Cloudy,168,1368,1536
90,2011-03-31,Summer,2011,Mar,0,Light Rain / Snow,179,1506,1685
91,2011-04-01,Summer,2011,Apr,0,Mist / Cloudy,307,1920,2227
92,2011-04-02,Summer,2011,Apr,0,Mist / Cloudy,898,1354,2252
93,2011-04-03,Summer,2011,Apr,0,Clear / Few clouds,1651,1598,3249
94,2011-04-04,Summer,2011,Apr,0,Clear / Few clouds,734,2381,3115
95,2011-04-05,Summer,2011,Apr,0,Mist / Cloudy,167,1628,1795
96,2011-04-06,Summer,2011,Apr,0,Clear / Few clouds,413,2395,2808
97,2011-04-07,Summer,2011,Apr,0,Clear / Few clouds,571,2570,3141
98,2011-04-08,Summer,2011,Apr,0,Mist / Cloudy,172,1299,1471
99,2011-04-09,Summer,2011,Apr,0,Mist / Cloudy,879,1576,2455
100,2011-04-10,Summer,2011,Apr,0,Mist / Cloudy,1188,1707,2895
101,2011-04-11,Summer,2011,Apr,0,Mist / Cloudy,855,2493,3348
102,2011-04-12,Summer,2011,Apr,0,Mist / Cloudy,257,1777,2034
103,2011-04-13,Summer,2011,Apr,0,Mist / Cloudy,209,1953,2162
104,2011-04-14,Summer,2011,Apr,0,Clear / Few clouds,529,2738,3267
105,2011-04-15,Summer,2011,Apr,1,Clear / Few clouds,642,2484,3126
106,2011-04-16,Summer,2011,Apr,0,Light Rain / Snow,121,674,795
107,2011-04-17,Summer,2011,Apr,0,Clear / Few clouds,1558,2186,3744
108,2011-04-18,Summer,2011,Apr,0,Clear / Few clouds,669,2760,3429
109,2011-04-19,Summer,2011,Apr,0,Mist / Cloudy,409,2795,3204
110,2011-04-20,Summer,2011,Apr,0,Clear / Few clouds,613,3331,3944
111,2011-04-21,Summer,2011,Apr,0,Clear / Few clouds,745,3444,4189
112,2011-04-22,Summer,2011,Apr,0,Mist / Cloudy,177,1506,1683
113,2011-04-23,Summer,2011,Apr,0,Mist / Cloudy,1462,2574,4036
114,2011-04-24,Summer,2011,Apr,0,Mist / Cloudy,1710,2481,4191
115,2011-04-25,Summer,2011,Apr,0,Clear / Few clouds,773,3300,4073
116,2011-04-26,Summer,2011,Apr,0,Clear / Few clouds,678,3722,4400
117,2011-04-27,Summer,2011,Apr,0,Mist / Cloudy,547,3325,3872
118,2011-04-28,Summer,2011,Apr,0,Mist / Cloudy,569,3489,4058
119,2011-04-29,Summer,2011,Apr,0,Clear / Few clouds,878,3717,4595
120,2011-04-30,Summer,2011,Apr,0,Clear / Few clouds,1965,3347,5312
121,2011-05-01,Summer,2011,Mei,0,Mist / Cloudy,1138,2213,3351
122,2011-05-02,Summer,2011,Mei,0,Mist / Cloudy,847,3554,4401
123,2011-05-03,Summer,2011,Mei,0,Mist / Cloudy,603,3848,4451
124,2011-05-04,Summer,2011,Mei,0,Mist / Cloudy,255,2378,2633
125,2011-05-05,Summer,2011,Mei,0,Clear / Few clouds,614,3819,4433
